TDS,TDS Duration,Vrot,Vrot Width,AzShear,TDS Height,TDS Width,Peak Wind,Min CC,Beam Height,Path Length,Path Width,tag
1,50,77.7,0.91,0.047,21.8,1.6,150,,,84.1,2040,20200412_2136_MSLawrence_kdgx
1,15,53.4,0.67,0.044,7.6,1.1,122,,,7.12,940,20200412_2214_ALWalker_kbmx
1,7,52.9,0.97,0.03,7.7,1.9,130,,,14.5,300,20200412_2222_MSClarke_kdgx
1,2,47.1,0.41,0.064,4.3,0.6,115,,,5.56,500,20200412_2250_ALBlount_kbmx
0,,19.9,1.35,0.008,,,115,,,21.84,440,20200412_2310_ALBlount_kbmx
1,5,42.3,0.41,0.057,5,0.6,115,,,12.19,875,20200412_2314_ALEtowah_khtx
1,5,46.6,1.15,0.023,3.5,0.8,120,,,15.8,800,20200413_0015_GAChattooga_khtx
1,22,52.5,0.47,0.062,15.1,3.9,134,,,8.88,860,20200413_0145_GAMurray_khtx
0,,46.6,0.87,0.03,,,117,,,2.5,350,20200413_0212_ALCullman_kbmx
1,21,88.4,0.48,0.102,14.9,2,145,,,18.37,1500,20200413_0315_GACatoosa_khtx
1,3,32.1,1.04,0.017,5.8,1.1,115,,,3.04,500,20200413_0345_TNBradley_khtx
1,17,86.9,0.36,0.134,18.6,2.1,140,,,16.7,1200,20200413_0619_GAUpson_kffc
1,13,57.3,0.31,0.103,10.8,1.3,140,,,5.3,300,20200413_0640_GAMonroe_kjgx
1,13,53.9,0.36,0.083,17.2,2.5,160,,,16.71,1000,20200413_0721_SCOconee_kgsp
1,9,49.5,0.73,0.038,5,1.2,120,,,8.01,200,20200413_0742_SCPickens_kgsp
1,18,67,0.5,0.074,8.1,1.6,125,,,16.94,700,20200413_0853_GABurke_kclx
1,39,59.2,0.28,0.117,14.4,3.5,140,,,38.28,800,20200413_0921_SCAiken_kcae
1,15,62.2,0.65,0.053,12.4,2.6,138,,,8.55,50,20200413_0933_SCBarnwell_kcae
1,31,61.7,0.56,0.061,15.6,2.9,141,,,36.9,770,20200413_0943_SCBarnwell_kcae
1,3,46.2,0.56,0.046,4.1,0.6,140,,,1.38,40,20200413_0949_SCBarnwell_kcae
1,14,68,0.32,0.118,10.3,1.9,145,,,5.45,800,20200413_0950_SCBarnwell_kcae
1,34,97.2,0.28,0.193,25.3,1.9,172,,,23.73,1300,20200413_1010_SCHampton_kclx
1,11,44.7,0.65,0.038,2.6,0.7,119,,,10.29,700,20200413_1025_SCOrangeburg_kcae
0,,22.8,1.28,0.01,,,125,,,0.4,75,20200413_1034_NCAnson_kcae
1,21,49.5,0.54,0.051,14.9,3.2,145,,,5.81,880,20200413_1138_SCBerkeley_kclx
1,4,35,0.96,0.02,6.7,0.7,122,,,1.16,140,20200413_1215_SCColleton_kclx
1,34,84.5,0.67,0.07,21.5,2.5,170,,,54.2,2200,20200420_0010_MSWalthall_kdgx
1,4,37.9,0.81,0.026,4.1,0.4,120,,,1.2,300,20200420_0349_ALCovington_kevx
