TDS,TDS Duration,Vrot,Vrot Width,AzShear,TDS Height,TDS Width,Peak Wind,Min CC,Beam Height,Path Length,Path Width,tag
0,,46.1,3.01,0.009,,,100,,1.271975788,1.03,150,20140429_0230_ALSumter_KGWX
1,24,46.6,0.84,0.031,7.5,1.3,103,,0.426706259,8.78,800,20140429_0259_ALJefferson_KBMX
1,16,46.2,0.56,0.046,10.2,1.2,120,0.21,0.314105007,5.14,600,20140429_0316_ALJefferson_kbmx
1,18,49.1,0.86,0.032,6.3,1.1,107,,0.285227828,4.46,675,20140429_0355_ALTuscaloosa_KBMX
0,,32.5,1.58,0.011,,,105,,0.59134806,7.81,1000,20140429_0422_ALBlount_KBMX
1,24,53,0.39,0.075,19,1.4,130,0.24,0.981446771,14.6,1300,20140429_0424_ALSt. Clair_kbmx
1,19,72.4,0.37,0.109,15.2,1.7,155,0.22,1.203009793,11.73,600,20140429_0432_ALEtowah_khtx
1,28,41.8,0.36,0.065,3.8,0.8,115,0.81,0.900125981,11.71,200,20140429_0506_ALDeKalb_khtx
1,27,81.5,0.53,0.085,17.2,2.6,140,0.21,0.640991273,11.45,1200,20140429_0756_ALRussell_kmxx
1,9,36.4,0.45,0.045,2.8,0.7,80,,0.214893977,1.74,75,20140429_0825_ALMacon_KMXX
1,23,38.4,0.33,0.065,6.5,1,110,,0.379514451,1.62,100,20140430_0642_FLJackson_KEOX
1,19,22.3,0.76,0.016,4.4,0.7,100,,0.30615804,2.15,100,20140510_2007_ALGeneva_KEOX
